Year,Make,Model,Platform code / generation number,Class,Notes
YEAR-MAKE-MODEL for AMERICAN MARKET,,,,,
Copyright 2013-2018 by Teoalida - cardatabase.teoalida.com,,,,,
"You are allowed to use this file in your business or company, or convert in SQL database for your website or software development.",,,,,
"You are not allowed to distribute, resell or post the Excel file or converted files on other websites.",,,,,
"SAMPLE file including 2 makes, one domestic (Ford) and one imported (BMW)",,,,,
"FULL file contains 90 makes and 15000+ models, each year adding 300+ models!",,,,,
"See ""Statistics makes"" sheet for the list of makes and number of models included for each make",,,,,
"Visit cardatabase.teoalida.com and purchase the FULL version, as well as other car databases!",,,,,
1978,Ford,Fiesta,-,Subcompact car,
1979,Ford,Fiesta,-,Subcompact car,
1980,Ford,Fiesta,-,Subcompact car,
1988,Ford,Festiva,-,Subcompact car,
1989,Ford,Festiva,-,Subcompact car,
1990,Ford,Festiva,-,Subcompact car,
1991,Ford,Festiva,-,Subcompact car,
1992,Ford,Festiva,-,Subcompact car,
1993,Ford,Festiva,-,Subcompact car,
1994,Ford,Aspire,-,Subcompact car,
1995,Ford,Aspire,-,Subcompact car,
1996,Ford,Aspire,-,Subcompact car,
1996,Ford,Aspire,-,Subcompact car,
2011,Ford,Fiesta,-,Subcompact car,
2012,Ford,Fiesta,-,Subcompact car,
2013,Ford,Fiesta,-,Subcompact car,
2014,Ford,Fiesta,-,Subcompact car,
2015,Ford,Fiesta,-,Subcompact car,
2016,Ford,Fiesta,-,Subcompact car,
2017,Ford,Fiesta,-,Subcompact car,
2018,Ford,Fiesta,-,Subcompact car,
2019,Ford,Fiesta,-,Subcompact car,
1960,Ford,Falcon,(1st gen),Compact car,
1961,Ford,Falcon,(1st gen),Compact car,
1962,Ford,Falcon,(1st gen),Compact car,
1963,Ford,Falcon,(1st gen),Compact car,
1964,Ford,Falcon,(2nd gen),Compact car,
1965,Ford,Falcon,(2nd gen),Compact car,
1966,Ford,Falcon,(3rd gen),Compact car,
1967,Ford,Falcon,(3rd gen),Compact car,
1968,Ford,Falcon,(3rd gen),Compact car,
1969,Ford,Falcon,(3rd gen),Compact car,
1970,Ford,Falcon,(3rd gen),Compact car,
1969,Ford,Maverick,-,Compact car,
1970,Ford,Maverick,-,Compact car,
1971,Ford,Maverick,-,Compact car,
1972,Ford,Maverick,-,Compact car,
1973,Ford,Maverick,-,Compact car,
1974,Ford,Maverick,-,Compact car,
1975,Ford,Maverick,-,Compact car,
1976,Ford,Maverick,-,Compact car,
1977,Ford,Maverick,-,Compact car,
1978,Ford,Fairmont,-,Compact car,
1979,Ford,Fairmont,-,Compact car,
1980,Ford,Fairmont,-,Compact car,
1981,Ford,Fairmont,-,Compact car,
1982,Ford,Fairmont,-,Compact car,
1983,Ford,Fairmont,-,Compact car,
1984,Ford,Tempo,(1st gen),Compact car,
1985,Ford,Tempo,(1st gen),Compact car,
1986,Ford,Tempo,(1st gen),Compact car,
1987,Ford,Tempo,(1st gen),Compact car,
1988,Ford,Tempo,(2nd gen),Compact car,
1989,Ford,Tempo,(2nd gen),Compact car,
1990,Ford,Tempo,(2nd gen),Compact car,
1991,Ford,Tempo,(2nd gen),Compact car,
1992,Ford,Tempo,(2nd gen),Compact car,
1993,Ford,Tempo,(2nd gen),Compact car,
1994,Ford,Tempo,(2nd gen),Compact car,
1995,Ford,Contour,-,Compact car,
1996,Ford,Contour,-,Compact car,
1997,Ford,Contour,-,Compact car,
1998,Ford,Contour,-,Compact car,
1999,Ford,Contour,-,Compact car,
2000,Ford,Contour,-,Compact car,"MY 2000 sold only in United States, no Canada"
1971,Ford,Pinto,-,Compact car,
1972,Ford,Pinto,-,Compact car,
1973,Ford,Pinto,-,Compact car,
1974,Ford,Pinto,-,Compact car,
1975,Ford,Pinto,-,Compact car,
1976,Ford,Pinto,-,Compact car,
1977,Ford,Pinto,-,Compact car,
1978,Ford,Pinto,-,Compact car,
1979,Ford,Pinto,-,Compact car,
1980,Ford,Pinto,-,Compact car,
1981,Ford,Escort,(1st gen),Compact car,
1982,Ford,Escort,(1st gen),Compact car,
1983,Ford,Escort,(1st gen),Compact car,
1984,Ford,Escort,(1st gen),Compact car,
1985,Ford,Escort,(1st gen),Compact car,
1986,Ford,Escort,(1st gen),Compact car,
1987,Ford,Escort,(1st gen),Compact car,
1988,Ford,Escort,(1st gen),Compact car,
1989,Ford,Escort,(1st gen),Compact car,
1990,Ford,Escort,(1st gen),Compact car,
1991,Ford,Escort,(2nd gen),Compact car,
1992,Ford,Escort,(2nd gen),Compact car,
1993,Ford,Escort,(2nd gen),Compact car,
1994,Ford,Escort,(2nd gen),Compact car,
1995,Ford,Escort,(2nd gen),Compact car,
1996,Ford,Escort,(2nd gen),Compact car,
1997,Ford,Escort,(3rd gen),Compact car,
1998,Ford,Escort,(3rd gen),Compact car,
1999,Ford,Escort,(3rd gen),Compact car,
2000,Ford,Escort,(3rd gen),Compact car,
2001,Ford,Escort,(3rd gen),Compact car,
2002,Ford,Escort,(3rd gen),Compact car,
2000,Ford,Focus,(1st gen),Compact car,
2001,Ford,Focus,(1st gen),Compact car,
2002,Ford,Focus,(1st gen),Compact car,
2003,Ford,Focus,(1st gen),Compact car,
2004,Ford,Focus,(1st gen),Compact car,
2005,Ford,Focus,(1st gen),Compact car,
2006,Ford,Focus,(1st gen),Compact car,
2007,Ford,Focus,(1st gen),Compact car,
2008,Ford,Focus,(2nd gen),Compact car,
2009,Ford,Focus,(2nd gen),Compact car,
2010,Ford,Focus,(2nd gen),Compact car,
2011,Ford,Focus,(2nd gen),Compact car,
2012,Ford,Focus,(3rd gen),Compact car,
2013,Ford,Focus,(3rd gen),Compact car,
2014,Ford,Focus,(3rd gen),Compact car,
2015,Ford,Focus,(3rd gen),Compact car,
2016,Ford,Focus,(3rd gen),Compact car,
2017,Ford,Focus,(3rd gen),Compact car,
2018,Ford,Focus,(3rd gen),Compact car,
2019,Ford,Focus,(3rd gen),Compact car,
1962,Ford,Fairlane,(4th gen),Mid-size car,
1963,Ford,Fairlane,(4th gen),Mid-size car,
1964,Ford,Fairlane,(4th gen),Mid-size car,
1965,Ford,Fairlane,(4th gen),Mid-size car,
1966,Ford,Fairlane,(5th gen),Mid-size car,
1967,Ford,Fairlane,(5th gen),Mid-size car,
1968,Ford,Fairlane,(6th gen),Mid-size car,
1969,Ford,Fairlane,(6th gen),Mid-size car,
1970,Ford,Fairlane,(7th gen),Mid-size car,
1971,Ford,Fairlane,(7th gen),Mid-size car,
1968,Ford,Torino,(1st gen),Mid-size car,"upscale Fairlane, not a separate model"
1969,Ford,Torino,(1st gen),Mid-size car,"upscale Fairlane, not a separate model"
1970,Ford,Torino,(1st gen),Mid-size car,"upscale Fairlane, not a separate model"
1971,Ford,Torino,(2nd gen),Mid-size car,
1972,Ford,Torino,(2nd gen),Mid-size car,
1972,Ford,Gran Torino,-,Mid-size car,
1973,Ford,Gran Torino,-,Mid-size car,
1974,Ford,Gran Torino,-,Mid-size car,
1975,Ford,Gran Torino,-,Mid-size car,
1976,Ford,Gran Torino,-,Mid-size car,
1977,Ford,LTD II,-,Mid-size car,
1978,Ford,LTD II,-,Mid-size car,
1979,Ford,LTD II,-,Mid-size car,
1975,Ford,Granada,-,Mid-size car,
1976,Ford,Granada,-,Mid-size car,
1977,Ford,Granada,-,Mid-size car,
1978,Ford,Granada,-,Mid-size car,
1979,Ford,Granada,-,Mid-size car,
1980,Ford,Granada,-,Mid-size car,
1981,Ford,Granada,-,Mid-size car,
1982,Ford,Granada,-,Mid-size car,
1983,Ford,LTD Fox,-,Mid-size car,
1984,Ford,LTD Fox,-,Mid-size car,
1985,Ford,LTD Fox,-,Mid-size car,
1986,Ford,LTD Fox,-,Mid-size car,
1986,Ford,Taurus,(1st gen),Mid-size car,
1987,Ford,Taurus,(1st gen),Mid-size car,
1988,Ford,Taurus,(1st gen),Mid-size car,
1989,Ford,Taurus,(1st gen),Mid-size car,
1990,Ford,Taurus,(1st gen),Mid-size car,
1991,Ford,Taurus,(1st gen),Mid-size car,
1992,Ford,Taurus,(2nd gen),Mid-size car,
1993,Ford,Taurus,(2nd gen),Mid-size car,
1994,Ford,Taurus,(2nd gen),Mid-size car,
1995,Ford,Taurus,(3rd gen),Mid-size car,
1996,Ford,Taurus,(3rd gen),Mid-size car,
1997,Ford,Taurus,(3rd gen),Mid-size car,
1998,Ford,Taurus,(3rd gen),Mid-size car,
1999,Ford,Taurus,(3rd gen),Mid-size car,
2000,Ford,Taurus,(4th gen),Mid-size car,
2001,Ford,Taurus,(4th gen),Mid-size car,
2002,Ford,Taurus,(4th gen),Mid-size car,
2003,Ford,Taurus,(4th gen),Mid-size car,
2004,Ford,Taurus,(4th gen),Mid-size car,
2005,Ford,Taurus,(4th gen),Mid-size car,
2006,Ford,Taurus,(4th gen),Mid-size car,
2007,Ford,Taurus,(4th gen),Mid-size car,
2006,Ford,Fusion,(1st gen),Mid-size car,
2007,Ford,Fusion,(1st gen),Mid-size car,
2008,Ford,Fusion,(1st gen),Mid-size car,
2009,Ford,Fusion,(1st gen),Mid-size car,
2010,Ford,Fusion,(1st gen),Mid-size car,
2011,Ford,Fusion,(1st gen),Mid-size car,
2012,Ford,Fusion,(1st gen),Mid-size car,
2013,Ford,Fusion,(2nd gen),Mid-size car,
2014,Ford,Fusion,(2nd gen),Mid-size car,
2015,Ford,Fusion,(2nd gen),Mid-size car,
2016,Ford,Fusion,(2nd gen),Mid-size car,
2017,Ford,Fusion,(2nd gen),Mid-size car,
2018,Ford,Fusion,(2nd gen),Mid-size car,
2019,Ford,Fusion,(2nd gen),Mid-size car,"UNCONFIRMED, POSSIBLE DISCONTINUATION"
1941,Ford,1941 Ford: Deluxe / Super Deluxe,-,Full-size car,
1942,Ford,1941 Ford: Deluxe / Super Deluxe,-,Full-size car,
1946,Ford,1941 Ford: Deluxe / Super Deluxe,-,Full-size car,
1947,Ford,1941 Ford: Deluxe / Super Deluxe,-,Full-size car,
1948,Ford,1941 Ford: Deluxe / Super Deluxe,-,Full-size car,
1949,Ford,1949 Ford: Deluxe / Custom,-,Full-size car,
1950,Ford,1949 Ford: Deluxe / Custom,-,Full-size car,
1951,Ford,1949 Ford: Deluxe / Custom,-,Full-size car,
1952,Ford,1952 Ford: Mainline / Customline / Crestline,-,Full-size car,
1953,Ford,1952 Ford: Mainline / Customline / Crestline,-,Full-size car,
1954,Ford,1952 Ford: Mainline / Customline / Crestline,-,Full-size car,
1955,Ford,1952 Ford: Mainline / Customline / Crestline,-,Full-size car,
1956,Ford,1952 Ford: Mainline / Customline / Crestline,-,Full-size car,
1955,Ford,Fairlane,(1st gen),Full-size car,
1956,Ford,Fairlane,(1st gen),Full-size car,
1957,Ford,Fairlane,(2nd gen),Full-size car,
1958,Ford,Fairlane,(2nd gen),Full-size car,
1959,Ford,Fairlane,(2nd gen),Full-size car,
1960,Ford,Fairlane,(3rd gen),Full-size car,
1961,Ford,Fairlane,(3rd gen),Full-size car,
1963,Ford,300,-,Full-size car,
1964,Ford,Custom 500,(1st gen),Full-size car,
1965,Ford,Custom 500,(2nd gen),Full-size car,
1966,Ford,Custom 500,(2nd gen),Full-size car,
1967,Ford,Custom 500,(2nd gen),Full-size car,
1968,Ford,Custom 500,(2nd gen),Full-size car,
1969,Ford,Custom 500,(3rd gen),Full-size car,
1970,Ford,Custom 500,(3rd gen),Full-size car,
1971,Ford,Custom 500,(4th gen),Full-size car,
1972,Ford,Custom 500,(4th gen),Full-size car,
1973,Ford,Custom 500,(4th gen),Full-size car,
1974,Ford,Custom 500,(4th gen),Full-size car,
1975,Ford,Custom 500,(4th gen),Full-size car,
1976,Ford,Custom 500,(4th gen),Full-size car,
1977,Ford,Custom 500,(4th gen),Full-size car,
1959,Ford,Galaxie,(1st gen),Full-size car,upscale Fairlane
1960,Ford,Galaxie,(2nd gen),Full-size car,
1961,Ford,Galaxie,(2nd gen),Full-size car,
1962,Ford,Galaxie,(2nd gen),Full-size car,
1963,Ford,Galaxie,(2nd gen),Full-size car,
1964,Ford,Galaxie,(2nd gen),Full-size car,
1965,Ford,Galaxie,(3rd gen),Full-size car,
1966,Ford,Galaxie,(3rd gen),Full-size car,
1967,Ford,Galaxie,(3rd gen),Full-size car,
1968,Ford,Galaxie,(3rd gen),Full-size car,
1969,Ford,Galaxie,(4th gen),Full-size car,
1970,Ford,Galaxie,(4th gen),Full-size car,
1971,Ford,Galaxie,(4th gen),Full-size car,
1972,Ford,Galaxie,(4th gen),Full-size car,
1973,Ford,Galaxie,(4th gen),Full-size car,
1974,Ford,Galaxie,(4th gen),Full-size car,
1965,Ford,LTD,(1st gen),Full-size car,
1966,Ford,LTD,(1st gen),Full-size car,
1967,Ford,LTD,(1st gen),Full-size car,
1968,Ford,LTD,(1st gen),Full-size car,
1969,Ford,LTD,(2nd gen),Full-size car,
1970,Ford,LTD,(2nd gen),Full-size car,
1971,Ford,LTD,(2nd gen),Full-size car,
1972,Ford,LTD,(2nd gen),Full-size car,
1973,Ford,LTD,(3rd gen),Full-size car,
1974,Ford,LTD,(3rd gen),Full-size car,
1975,Ford,LTD,(3rd gen),Full-size car,
1976,Ford,LTD,(3rd gen),Full-size car,
1977,Ford,LTD,(3rd gen),Full-size car,
1978,Ford,LTD,(3rd gen),Full-size car,
1979,Ford,LTD,(4th gen),Full-size car,
1980,Ford,LTD,(4th gen),Full-size car,
1981,Ford,LTD,(4th gen),Full-size car,
1982,Ford,LTD,(4th gen),Full-size car,
1983,Ford,LTD Crown Victoria,-,Full-size car,
1984,Ford,LTD Crown Victoria,-,Full-size car,
1985,Ford,LTD Crown Victoria,-,Full-size car,
1986,Ford,LTD Crown Victoria,-,Full-size car,
1987,Ford,LTD Crown Victoria,-,Full-size car,
1988,Ford,LTD Crown Victoria,-,Full-size car,
1989,Ford,LTD Crown Victoria,-,Full-size car,
1990,Ford,LTD Crown Victoria,-,Full-size car,
1991,Ford,LTD Crown Victoria,-,Full-size car,
1992,Ford,Crown Victoria,(1st gen),Full-size car,
1993,Ford,Crown Victoria,(1st gen),Full-size car,
1994,Ford,Crown Victoria,(1st gen),Full-size car,
1995,Ford,Crown Victoria,(1st gen),Full-size car,
1996,Ford,Crown Victoria,(1st gen),Full-size car,
1997,Ford,Crown Victoria,(1st gen),Full-size car,
1998,Ford,Crown Victoria,(2nd gen),Full-size car,
1999,Ford,Crown Victoria,(2nd gen),Full-size car,
2000,Ford,Crown Victoria,(2nd gen),Full-size car,
2001,Ford,Crown Victoria,(2nd gen),Full-size car,
2002,Ford,Crown Victoria,(2nd gen),Full-size car,
2003,Ford,Crown Victoria,(2nd gen),Full-size car,
2004,Ford,Crown Victoria,(2nd gen),Full-size car,
2005,Ford,Crown Victoria,(2nd gen),Full-size car,
2006,Ford,Crown Victoria,(2nd gen),Full-size car,
2007,Ford,Crown Victoria,(2nd gen),Full-size car,
2008,Ford,Crown Victoria,(2nd gen),Full-size car,
2009,Ford,Crown Victoria,(2nd gen),Full-size car,
2010,Ford,Crown Victoria,(2nd gen),Full-size car,
2011,Ford,Crown Victoria,(2nd gen),Full-size car,
2005,Ford,Five Hundred,-,Full-size car,
2006,Ford,Five Hundred,-,Full-size car,
2007,Ford,Five Hundred,-,Full-size car,
2008,Ford,Taurus,(5th gen),Full-size car,
2009,Ford,Taurus,(5th gen),Full-size car,
2010,Ford,Taurus,(6th gen),Full-size car,
2011,Ford,Taurus,(6th gen),Full-size car,
2012,Ford,Taurus,(6th gen),Full-size car,
2013,Ford,Taurus,(6th gen),Full-size car,
2014,Ford,Taurus,(6th gen),Full-size car,
2015,Ford,Taurus,(6th gen),Full-size car,
2016,Ford,Taurus,(6th gen),Full-size car,
2017,Ford,Taurus,(6th gen),Full-size car,
2018,Ford,Taurus,(6th gen),Full-size car,
2019,Ford,Taurus,(6th gen),Full-size car,
1951,Ford,Country Squire,(1st gen),Full-size wagon car,
1952,Ford,Country Squire,(1st gen),Full-size wagon car,
1953,Ford,Country Squire,(1st gen),Full-size wagon car,
1954,Ford,Country Squire,(1st gen),Full-size wagon car,
1955,Ford,Country Squire,(2nd gen),Full-size wagon car,
1956,Ford,Country Squire,(2nd gen),Full-size wagon car,
1957,Ford,Country Squire,(2nd gen),Full-size wagon car,
1958,Ford,Country Squire,(2nd gen),Full-size wagon car,
1959,Ford,Country Squire,(3rd gen),Full-size wagon car,
1960,Ford,Country Squire,(3rd gen),Full-size wagon car,
1961,Ford,Country Squire,(3rd gen),Full-size wagon car,
1962,Ford,Country Squire,(3rd gen),Full-size wagon car,
1963,Ford,Country Squire,(3rd gen),Full-size wagon car,
1964,Ford,Country Squire,(3rd gen),Full-size wagon car,
1965,Ford,Country Squire,(3rd gen),Full-size wagon car,
1966,Ford,Country Squire,(3rd gen),Full-size wagon car,
1967,Ford,Country Squire,(4th gen),Full-size wagon car,
1968,Ford,Country Squire,(4th gen),Full-size wagon car,
1969,Ford,Country Squire,(5th gen),Full-size wagon car,
1970,Ford,Country Squire,(5th gen),Full-size wagon car,
1971,Ford,Country Squire,(5th gen),Full-size wagon car,
1972,Ford,Country Squire,(5th gen),Full-size wagon car,
1973,Ford,Country Squire,(6th gen),Full-size wagon car,
1974,Ford,Country Squire,(6th gen),Full-size wagon car,
1975,Ford,Country Squire,(6th gen),Full-size wagon car,
1976,Ford,Country Squire,(6th gen),Full-size wagon car,
1977,Ford,Country Squire,(6th gen),Full-size wagon car,
1978,Ford,Country Squire,(6th gen),Full-size wagon car,
1979,Ford,Country Squire,(7th gen),Full-size wagon car,
1980,Ford,Country Squire,(7th gen),Full-size wagon car,
1981,Ford,Country Squire,(7th gen),Full-size wagon car,
1982,Ford,Country Squire,(7th gen),Full-size wagon car,
1983,Ford,Country Squire,(7th gen),Full-size wagon car,
1984,Ford,Country Squire,(7th gen),Full-size wagon car,
1985,Ford,Country Squire,(7th gen),Full-size wagon car,
1986,Ford,Country Squire,(7th gen),Full-size wagon car,
1987,Ford,Country Squire,(7th gen),Full-size wagon car,
1988,Ford,Country Squire,(7th gen),Full-size wagon car,
1989,Ford,Country Squire,(7th gen),Full-size wagon car,
1990,Ford,Country Squire,(7th gen),Full-size wagon car,
1991,Ford,Country Squire,(7th gen),Full-size wagon car,
1955,Ford,Thunderbird,(1st gen),Personal luxury car,
1956,Ford,Thunderbird,(1st gen),Personal luxury car,
1957,Ford,Thunderbird,(1st gen),Personal luxury car,
1958,Ford,Thunderbird,(2nd gen),Personal luxury car,
1959,Ford,Thunderbird,(2nd gen),Personal luxury car,
1960,Ford,Thunderbird,(2nd gen),Personal luxury car,
1961,Ford,Thunderbird,(3rd gen),Personal luxury car,
1962,Ford,Thunderbird,(3rd gen),Personal luxury car,
1963,Ford,Thunderbird,(3rd gen),Personal luxury car,
1964,Ford,Thunderbird,(4th gen),Personal luxury car,
1965,Ford,Thunderbird,(4th gen),Personal luxury car,
1966,Ford,Thunderbird,(4th gen),Personal luxury car,
1967,Ford,Thunderbird,(5th gen),Personal luxury car,
1968,Ford,Thunderbird,(5th gen),Personal luxury car,
1969,Ford,Thunderbird,(5th gen),Personal luxury car,
1970,Ford,Thunderbird,(5th gen),Personal luxury car,
1971,Ford,Thunderbird,(5th gen),Personal luxury car,
1972,Ford,Thunderbird,(6th gen),Personal luxury car,
1973,Ford,Thunderbird,(6th gen),Personal luxury car,
1974,Ford,Thunderbird,(6th gen),Personal luxury car,
1975,Ford,Thunderbird,(6th gen),Personal luxury car,
1976,Ford,Thunderbird,(6th gen),Personal luxury car,
1977,Ford,Thunderbird,(7th gen),Personal luxury car,
1978,Ford,Thunderbird,(7th gen),Personal luxury car,
1979,Ford,Thunderbird,(7th gen),Personal luxury car,
1980,Ford,Thunderbird,(8th gen),Personal luxury car,
1981,Ford,Thunderbird,(8th gen),Personal luxury car,
1982,Ford,Thunderbird,(8th gen),Personal luxury car,
1983,Ford,Thunderbird,(9th gen),Personal luxury car,
1984,Ford,Thunderbird,(9th gen),Personal luxury car,
1985,Ford,Thunderbird,(9th gen),Personal luxury car,
1986,Ford,Thunderbird,(9th gen),Personal luxury car,
1987,Ford,Thunderbird,(9th gen),Personal luxury car,
1988,Ford,Thunderbird,(9th gen),Personal luxury car,
1989,Ford,Thunderbird,(10th gen),Personal luxury car,
1990,Ford,Thunderbird,(10th gen),Personal luxury car,
1991,Ford,Thunderbird,(10th gen),Personal luxury car,
1992,Ford,Thunderbird,(10th gen),Personal luxury car,
1993,Ford,Thunderbird,(10th gen),Personal luxury car,
1994,Ford,Thunderbird,(10th gen),Personal luxury car,
1995,Ford,Thunderbird,(10th gen),Personal luxury car,
1996,Ford,Thunderbird,(10th gen),Personal luxury car,
1997,Ford,Thunderbird,(10th gen),Personal luxury car,
2002,Ford,Thunderbird,(11th gen),Personal luxury car,
2003,Ford,Thunderbird,(11th gen),Personal luxury car,
2004,Ford,Thunderbird,(11th gen),Personal luxury car,
2005,Ford,Thunderbird,(11th gen),Personal luxury car,
1982,Ford,EXP,-,Sport car,
1983,Ford,EXP,-,Sport car,
1984,Ford,EXP,-,Sport car,
1985,Ford,EXP,-,Sport car,
1986,Ford,EXP,-,Sport car,
1987,Ford,EXP,-,Sport car,
1988,Ford,EXP,-,Sport car,
1989,Ford,Probe,(1st gen),Sport car,
1990,Ford,Probe,(1st gen),Sport car,
1991,Ford,Probe,(1st gen),Sport car,
1992,Ford,Probe,(1st gen),Sport car,
